H,2025/6/18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
［データ区分］,［伝票日付］,［伝票No］,［取引状態］,［自社コード］,［自社会員名］,［自社担当者］,［取引先コード］,［取引先名］,［納品場所コード］,［納品場所名］,［納品場所 住所］,［マイカタログID］,［自社管理商品コード］,［商品名］,［規格］,［入数］,［入数単位］,［単価］,［数量］,［単位］,［金額］,［消費税］,［小計］,［課税区分］,［税区分］,［合計 商品本体］,［合計 商品消費税］,［合計 送料本体］,［合計 送料消費税］,［合計 その他］,［総合計］,［発注日］,［発送日］,［納品日］,［受領日］,［取引ID_SYSTEM］,［伝票明細ID_SYSTEM］,［発注送信日］,［発注送信時間］,［送信日］,［送信時間］
D,2025/6/17,608186,発注済,,株式会社丸大一,西川信幸,,出張宴会（株式会社サンケイ会館）,,主張宴会　厨房,東京都台東区上野1-4-8　上野横山ビルB1F,127192187,739050,赤アンディ－ブ,,1,個,1,2,個,2,0,2,,外税,,,,,,,2025/6/17,,2025/6/18,,1651380854,9,2025/6/17,15:20,2025/6/17,15:20
D,2025/6/17,608186,発注済,,株式会社丸大一,西川信幸,,出張宴会（株式会社サンケイ会館）,,主張宴会　厨房,東京都台東区上野1-4-8　上野横山ビルB1F,147381080,342700,ズッキーニ（本）,,1,本,220,2,本,440,0,440,,外税,,,,,,,2025/6/17,,2025/6/18,,1651380854,10,2025/6/17,15:20,2025/6/17,15:20
D,2025/6/17,608186,発注済,,株式会社丸大一,西川信幸,,出張宴会（株式会社サンケイ会館）,,主張宴会　厨房,東京都台東区上野1-4-8　上野横山ビルB1F,142916075,342710,黄ズッキーニ,,1,本,320,26,本,8320,0,8320,,外税,,,,,,,2025/6/17,,2025/6/18,,1651380854,11,2025/6/17,15:20,2025/6/17,15:20
D,2025/6/17,608186,発注済,,株式会社丸大一,西川信幸,,出張宴会（株式会社サンケイ会館）,,主張宴会　厨房,東京都台東区上野1-4-8　上野横山ビルB1F,147372845,386040,エリンギ茸,,1,PC,120,2,PC,240,0,240,,外税,,,,,,,2025/6/17,,2025/6/18,,1651380854,12,2025/6/17,15:20,2025/6/17,15:20
D,2025/6/17,608186,発注済,,株式会社丸大一,西川信幸,,出張宴会（株式会社サンケイ会館）,,主張宴会　厨房,東京都台東区上野1-4-8　上野横山ビルB1F,127192257,385210,ぶなしめじ,,0,PC,1,2,PC,2,0,2,,外税,,,,,,,2025/6/17,,2025/6/18,,1651380854,13,2025/6/17,15:20,2025/6/17,15:20
D,2025/6/17,608186,発注済,,株式会社丸大一,西川信幸,,出張宴会（株式会社サンケイ会館）,,主張宴会　厨房,東京都台東区上野1-4-8　上野横山ビルB1F,144248128,386200,まい茸,,1,PC,140,2,PC,280,0,280,,外税,,,,,,,2025/6/17,,2025/6/18,,1651380854,14,2025/6/17,15:20,2025/6/17,15:20
D,2025/6/17,608186,発注済,,株式会社丸大一,西川信幸,,出張宴会（株式会社サンケイ会館）,,主張宴会　厨房,東京都台東区上野1-4-8　上野横山ビルB1F,127192203,386100,マッシュルーム,,0,PC,1,3,PC,3,0,3,,外税,,,,,,,2025/6/17,,2025/6/18,,1651380854,15,2025/6/17,15:20,2025/6/17,15:20
D,2025/6/17,608186,発注済,,株式会社丸大一,西川信幸,,出張宴会（株式会社サンケイ会館）,,主張宴会　厨房,東京都台東区上野1-4-8　上野横山ビルB1F,127192118,336200,イタリヤパセリ,,1,PC,200,4,PC,800,0,800,,外税,,,,,,,2025/6/17,,2025/6/18,,1651380854,16,2025/6/17,15:20,2025/6/17,15:20
D,2025/6/17,608186,発注済,,株式会社丸大一,西川信幸,,出張宴会（株式会社サンケイ会館）,,主張宴会　厨房,東京都台東区上野1-4-8　上野横山ビルB1F,127242215,3772001,ディル,,0,PC,1,2,PC,2,0,2,,外税,,,,,,,2025/6/17,,2025/6/18,,1651380854,17,2025/6/17,15:20,2025/6/17,15:20
D,2025/6/17,608186,発注済,,株式会社丸大一,西川信幸,,出張宴会（株式会社サンケイ会館）,,主張宴会　厨房,東京都台東区上野1-4-8　上野横山ビルB1F,127192260,377120,ペパーミント,,0,PC,1,2,PC,2,0,2,,外税,,,,,,,2025/6/17,,2025/6/18,,1651380854,18,2025/6/17,15:20,2025/6/17,15:20
D,2025/6/17,608203,発注済,,株式会社丸大一,西川信幸,,館内宴会（株式会社サンケイ会館）,,厨房,東京都千代田区大手町1-7-2　東京サンケイビル2階 洋食厨房,151436249,343300,長茄子（３入袋）,,0,未指定,260,3,PC,780,0,780,,外税,780,0,0,0,0,780,2025/6/17,,2025/6/19,,1651387388,1,2025/6/17,15:34,2025/6/17,15:34
D,2025/6/17,608225,発注済,,株式会社丸大一,西川信幸,,館内宴会（株式会社サンケイ会館）,,厨房,東京都千代田区大手町1-7-2　東京サンケイビル2階 洋食厨房,176479113,559110,茄子漬,,1,PC,420,5,PC,2100,0,2100,,外税,6800,0,0,0,0,6800,2025/6/17,,2025/6/19,,1651424970,1,2025/6/17,16:59,2025/6/17,16:59
D,2025/6/17,608225,発注済,,株式会社丸大一,西川信幸,,館内宴会（株式会社サンケイ会館）,,厨房,東京都千代田区大手町1-7-2　東京サンケイビル2階 洋食厨房,176479114,896029,胡瓜漬,,1,PC,360,5,PC,1800,0,1800,,外税,,,,,,,2025/6/17,,2025/6/19,,1651424970,2,2025/6/17,16:59,2025/6/17,16:59
D,2025/6/17,608225,発注済,,株式会社丸大一,西川信幸,,館内宴会（株式会社サンケイ会館）,,厨房,東京都千代田区大手町1-7-2　東京サンケイビル2階 洋食厨房,173244983,89603311,牛蒡漬け,,0,PC,580,5,PC,2900,0,2900,,外税,,,,,,,2025/6/17,,2025/6/19,,1651424970,3,2025/6/17,16:59,2025/6/17,16:59
D,2025/6/18,608259,発注済,,株式会社丸大一,西川信幸,,出張宴会（株式会社サンケイ会館）,,上野営業所,東京都台東区上野1-4-8　上野横山ビルB1F,127242179,377100,バジル,,1,PC,1,2,PC,2,0,2,,外税,2,0,0,0,0,2,2025/6/18,,2025/6/19,,1651668988,1,2025/6/18,11:39,2025/6/18,11:39
